ANONYMIZED,Term,Sentence_A,Sentence_B,ANONYMIZED,Answer1,ANONYMIZED,Answer2,Agreement,Answer,Date
ANONYMIZED,government,"Enterprise and government
The TEE can be used by governments and enterprises to enable the secure handling of confidential information on a mobile device.",The ever increasing cost of chronic disease will require government and society to make decisions on the cost-effectiveness of the available health care options.,ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:09:35 UTC
ANONYMIZED,matter,"The Electronic Frontier Foundation's attorney Hanni Fakhoury commented in early 2014 that while Whisper may have no legal choice in the matter, ""itâ€™s the doublespeak thatâ€™s problematic.""","No matter, she is interesting enough without an amicable agreement.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:08:38 UTC
ANONYMIZED,editor,He has been an associate editor of the ACM Transactions on Graphics.,"One article was written by the Journal's then-current editor in chief, Jeffrey M. Drazen, M.D.",ANONYMIZED,Almost the same,ANONYMIZED,Extremely different,No,no_agreement,2018-10-08 17:10:04 UTC
ANONYMIZED,location,Discrete and fractional programming techniques for location models.,"Hospitals and clinics that used to be familiar as ""St. John's Regional Health Center"" are now named ""Mercy Hospital Springfield"" (Mercy - entity - location).",ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-08 17:09:12 UTC
ANONYMIZED,argument,"For sake of argument, say the triggered oscillator has a period that is 1 ns faster than the clock.","After ten days of argument, the judge eventually found for de la Warr, but considered the box to be bogus.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:09:04 UTC
ANONYMIZED,matrix,"Now for the scaled workload suppose is possible to factorize a 320,000-by-320,000 matrix in 32 hours.","In addition, crosslinking of collagen and the extracellular matrix was affected.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:09:00 UTC
ANONYMIZED,success,The ultimate measure of success is however the ability to make testable predictions.,"The operation was a success; however, Nix died three years later in 1963.",ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-08 17:09:20 UTC
ANONYMIZED,class,"Online complex processing (OLCP) is a class of realtime data processing involving complex queries, lengthy queries and/or simultaneous reads and writes to the same records.","Upper and middle class women, well-represented in the latter category, were particularly susceptible to chloral hydrate addiction.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:09:46 UTC
ANONYMIZED,mouse,"If the cursor is placed outside the Ghostzilla window, Ghostzilla hides itself and can be viewed again by a mouse gesture.","First, exposure to HZE nuclei at low doses (<50 cGy) significantly induces neurocognitive deficits, such as learning and behavioral changes as well as operant reactions in the mouse and rat.",ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-08 17:09:53 UTC
ANONYMIZED,government,"The program prepares graduates for professional and research careers in industry, government or academe.","On February 2, 2006, Boston Medical Center received regulatory approval from the federal government to fund construction of a biosafety laboratory on its medical campus in Boston.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:10:29 UTC
ANONYMIZED,matter,"For the same reason, it does not matter whether duplicate literals are allowed in clauses (like e.g.","In complete markets, there is no compensation for idiosyncratic riskâ€”that is, a security's idiosyncratic risk does not matter for its price.",ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-08 17:09:41 UTC
ANONYMIZED,argument,This follows from a straightforward Euler characteristic argument.,"In The Blind Watchmaker (1986), he argues against the watchmaker analogy, an argument for the existence of a supernatural creator based upon the complexity of living organisms.",ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-08 17:10:17 UTC
ANONYMIZED,house,"Malvar, Henrique (1992), Signal Processing with Lapped Transforms, Boston: Artech House, ISBN 0-89006-467-9 
Martucci, S. A.","She was politically active during her White House years, sitting in on Cabinet and policy meetings as well as serving as her husband's closest adviser.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:10:21 UTC
ANONYMIZED,relation,"A table in an SQL database schema corresponds to a predicate variable; the contents of a table to a relation; key constraints, other constraints, and SQL queries correspond to predicates.","In its most simple form, the oxyhemoglobin dissociation curve describes the relation between the partial pressure of oxygen (x axis) and the oxygen saturation (y axis).",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:10:25 UTC
ANONYMIZED,relation,A well-founded relation is characterized by the existence of a minimal element of every non-empty subset of its domain.,This would therefore allow agricultural researchers to observe the effects of hormones in relation to natural menstrual cycles.,ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:20:41 UTC
ANONYMIZED,arm,Its high performance was due to much of the system being written in ARM assembly language.,"The doctor must ask the patient about neck pain, limitation of neck movement and roof symptoms down the arm.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:20:13 UTC
ANONYMIZED,arm,Most Newton devices were based on the ARM 610 RISC processor and all featured handwriting-based input.,"Blundell used the patient's husband as a donor, and extracted four ounces of blood from his arm to transfuse into his wife.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:20:19 UTC
ANONYMIZED,strength,"Comodo Dragon performs additional checks on the SSL digital certificates of secure websites, and informs users if a site's certificate may be of insufficient strength.","More recently, formulations are available with additives to increase shear strength, creating a more impact resistant bond.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:21:22 UTC
ANONYMIZED,transfer,"This new phenomenon, called the Quantum mirage effect, enables data transfer within future nanoscale electronic circuits too small to use wires.",A protocol for NPY gene transfer is being reviewed by the FDA.,ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:20:53 UTC
ANONYMIZED,editor,She served as an area editor for Information and Computation from 1989-1992.,"Bill Glovin, editor of Cerebrum, serves as Executive Director of the Dana Press, which is part of the Foundation's communications department.",ANONYMIZED,Almost the same,ANONYMIZED,Almost the same,Yes,Almost the same,2018-10-08 17:20:23 UTC
ANONYMIZED,germany,"Opsi is developed and maintained by uib GmbH from Mainz, Germany.","Prevalence doubled or tripled between the early 1970s and late 1990s in Australia, Brazil, Canada, Chile, Finland, France, Germany, Greece, Japan, the UK, and the USA.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:21:26 UTC
ANONYMIZED,speech,Machine translation is a sub-field of computational linguistics that investigates the use of software to translate text or speech from one natural language to another.,Lack of speech is also a very common trait associated with LNS.,ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-08 17:21:06 UTC
ANONYMIZED,arm,"For example, the OMAP3 processors include a ARM Cortex-A8 and C6000 DSP.",A small amount (0.1 ml) of diluted (1/50 MLD) diphtheria toxin is injected intradermally into one arm of the person and a heat inactivated toxin on the other as a control.,ANONYMIZED,Almost the same,ANONYMIZED,Almost the same,Yes,Almost the same,2018-10-08 17:19:26 UTC
ANONYMIZED,pair,"For example, PAIR encapsulates the pair (x,y), FIRST returns the first element of the pair, and SECOND returns the second.","The disease is caused by a mutation in a gene (acid alpha-glucosidase: also known as acid maltase) on long arm of chromosome 17 at 17q25.2-q25.3 (base pair 75,689,876 to 75,708,272).",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:21:14 UTC
ANONYMIZED,community,The matter remains in active discussion within the academic community.,Mental health in the Republic of Ireland is the subject of state and community sector intervention in the Republic of Ireland.,ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-08 17:21:02 UTC
ANONYMIZED,client,"Especially if you are looking for a simple client on a USB stick then Miranda IM is a good choice.""","During a session, a provider (practitioner or therapist) gently cradles, moves, stretches, and massages a receiver (client or patient).",ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-08 17:20:37 UTC
ANONYMIZED,word,The word and conjugacy search problems are in GenP for all fixed finitely presented groups.,"In order to stay one step ahead of the competition, Burroughs Wellcome, in 1884, trademarked the word â€œTabloidâ€, a blend of the words â€œtabletâ€ and â€œalkaloidâ€, to denote the firmâ€™s pills.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:21:31 UTC
ANONYMIZED,house,The TEE is an ideal area within a mobile device to house the match engine and the associated processes required to authenticate the user.,"In the US, the White House began marking World AIDS Day with the iconic display of a 28-foot AIDS Ribbon on the building's North Portico in 2007.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:19:54 UTC
ANONYMIZED,strength,"Such ""lace cards"" lacked structural strength, and would frequently buckle and jam inside the machine.","It is used with individuals who experience limitations in movement, inadequate muscle strength or loss of endurance in occupations.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:19:34 UTC
ANONYMIZED,community,The main target of the group is establishing a research community for sharing common interests.,"The association was formerly known as the International Association of Dentistry for the Handicapped, but was altered to its current name to mirror present community ideology.",ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-08 17:20:58 UTC
ANONYMIZED,transfer,"As a result of the properties of these transforms, the output of the system in the frequency domain is the product of the transfer function and the transform of the input.",The transfer of the planning was mainly based on the surgeon's visual skills.,ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:20:49 UTC
ANONYMIZED,pair,"For example, PAIR encapsulates the pair (x,y), FIRST returns the first element of the pair, and SECOND returns the second.",MicroRNAs (miRNAs) are small endogenous RNAs that pair with sequences in messenger RNAs to direct post-transcriptional repression.,ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-08 17:20:26 UTC
ANONYMIZED,word,"On a RAM machine with word size w and integer inputs 0 â‰¤ {x, y} < n = 2w, the problem can be solved in O(n log n) operations by means of the fast Fourier transform.","Regarding spirituality and its relationship with science, Sagan stated:

'Spirit' comes from the Latin word 'to breathe'.",ANONYMIZED,Exactly the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:21:10 UTC
ANONYMIZED,editor,Unified Registry editor that combines Windows 9x's Regedit.exe and Windows NT's Regedt32.exe.,Relman was editor of the Journal of Clinical Investigation from 1962 to 1967.,ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:20:00 UTC
ANONYMIZED,client,"The narrower meaning of corpus manager refers only to the server side or the corpus query engine, whereas the client side is simply called the user interface.","As a result, client centeredness and occupation have re-emerged as dominant themes in the profession.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:19:42 UTC
ANONYMIZED,mouse,"Mouse clicking with Shift pressed on the logo causes the appearance of a sailboat above the ""R"" button which is sailing around in the water.","CYP2S1 is expressed in macrophages, liver, lung, intestine, and spleen and is abundant in human and mouse atherosclerosis (i.e.",ANONYMIZED,Almost the same,ANONYMIZED,Almost the same,Yes,Almost the same,2018-10-08 17:19:46 UTC
ANONYMIZED,location,They do not travel with you as you move from location to location.,This means that an infant cannot determine the location of pain and pain does not seem to be an internal force.,ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-08 17:20:10 UTC
ANONYMIZED,germany,"The project is mirrored by the Max Planck Society in Berlin, Germany, as well as by the University of Chicago.","At the end of the war, Doris and Muriel joined a march to the House of Commons demanding that milk be sent to Germany, where people were starving.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:19:38 UTC
ANONYMIZED,germany,"The VideoComp was developed by Dr. Rudolf Hell of Kiel, Germany, as the Digiset, and marketed by RCA GSD in the U.S. in the late 1960s and early 1970s as the VideoComp.","Naegele was born July 12, 1778, in DÃ¼sseldorf, Germany.",ANONYMIZED,Exactly the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:21:19 UTC
ANONYMIZED,speech,Applied Pattern Recognition: A Practical Introduction to Image and Speech Processing in C++ (2nd ed.).,"Because sound travels faster in heliox than in air, voice formants are raised, making divers' speech very high-pitched and hard to understand to people not used to it.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:19:50 UTC
ANONYMIZED,community,"A growing active community exists around the language, and more than 5,400 third-party open-source libraries and tools are available in the online package repository Hackage.","The ISA AC methodology has been adopted by the epidemiological community and is widely used in studies of asthma, rhinitis and eczema throughout the world.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:20:29 UTC
ANONYMIZED,client,"In a networked environment with a print server running Windows Vista, documents will be rendered on the client machine, rather than on the server, using a feature known as Client Side Rendering.",These services help the client to stay at home versus living in a facility.,ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:20:44 UTC
ANONYMIZED,pair,"To extract this structure, researchers use a distance threshold, and only pair of residues which are within that threshold are considered connected (i.e.",MicroRNAs (miRNAs) are small endogenous RNAs that pair with sequences in messenger RNAs to direct post-transcriptional repression.,ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:21:35 UTC
ANONYMIZED,argument,"This function prints out its first argument, replacing conversion specifications (such as ""%s"", ""%d"", et cetera) sequentially with other arguments from its call stack as needed.","Candidates must complete one essay question from a choice of three, requiring the construction of an argument or debate, an analysis of a statement, or similar task.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:20:06 UTC
